1.2000e+01,1.2000e+01,1.2000e-09,2.7571e+05,Inf
1.1000e+01,1.0000e+00,1.0000e+01,2.7571e+05,Inf
1.0000e+01,2.0000e+00,8.0000e+00,2.7571e+05,Inf
9.0000e+00,3.0000e+00,6.0000e+00,2.7571e+05,Inf
8.0000e+00,4.0000e+00,4.0000e+00,2.7571e+05,Inf
7.0000e+00,5.0000e+00,2.0000e+00,2.7571e+05,Inf
6.0000e+00,6.0000e+00,5.5440e-07,2.7571e+05,7.3787e+19
5.0000e+00,7.0000e+00,2.0000e+00,2.7571e+05,-9.2234e+18
4.0000e+00,8.0000e+00,4.0000e+00,2.7571e+05,9.2234e+18
3.0000e+00,9.0000e+00,6.0000e+00,2.7571e+05,-1.4412e+17
2.0000e+00,1.0000e+01,8.0000e+00,2.7571e+05,-1.5372e+17
1.0000e+00,1.1000e+01,1.0000e+01,2.7571e+05,3.8592e+16
