1.0000e+00,1.0000e+00,0.0000e+00,3.2434e+05,Inf
2.0000e+00,2.0000e+00,0.0000e+00,3.2434e+05,Inf
3.0000e+00,3.0000e+00,0.0000e+00,3.2434e+05,Inf
4.0000e+00,4.0000e+00,0.0000e+00,3.2434e+05,Inf
5.0000e+00,5.0000e+00,0.0000e+00,3.2434e+05,Inf
6.0000e+00,6.0000e+00,0.0000e+00,3.2434e+05,Inf
7.0000e+00,7.0000e+00,0.0000e+00,3.2434e+05,7.3787e+19
8.0000e+00,8.0000e+00,0.0000e+00,3.2434e+05,-9.2234e+18
9.0000e+00,9.0000e+00,0.0000e+00,3.2434e+05,9.2234e+18
1.0000e+01,1.0000e+01,0.0000e+00,3.2434e+05,-1.4412e+17
1.1000e+01,1.1000e+01,0.0000e+00,3.2434e+05,-1.5372e+17
1.2000e+01,1.2000e+01,0.0000e+00,3.2434e+05,3.8592e+16
